"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"09/01/2025","621,80","614,00","634,00","614,00","147,99K","1,24%"
"08/01/2025","614,20","606,00","620,00","606,00","74,71K","1,34%"
"07/01/2025","606,10","603,40","610,00","603,40","117,84K","0,18%"
"06/01/2025","605,00","602,00","620,00","602,00","126,59K","-0,64%"
"03/01/2025","608,90","585,00","610,10","584,00","344,26K","4,44%"
"02/01/2025","583,00","571,00","590,00","571,00","98,59K","2,46%"
"31/12/2024","569,00","564,50","571,50","564,50","59,24K","0,53%"
"30/12/2024","566,00","560,00","566,00","560,00","106,31K","0,00%"
"27/12/2024","566,00","567,50","569,00","565,00","102,91K","-0,70%"
"26/12/2024","570,00","565,70","573,00","565,70","556,23K","0,09%"
"25/12/2024","569,50","575,00","575,00","565,00","25,67K","-0,09%"
"24/12/2024","570,00","570,00","575,00","566,10","11,01K","-0,70%"
"23/12/2024","574,00","565,60","575,00","565,60","172,15K","0,00%"
"20/12/2024","574,00","571,10","575,00","567,00","89,43K","0,44%"
"19/12/2024","571,50","572,00","577,90","571,50","29,25K","-0,02%"
"18/12/2024","571,60","578,00","578,00","571,60","13,47K","-0,59%"
"17/12/2024","575,00","573,00","585,00","571,50","165,13K","0,44%"
"16/12/2024","572,50","568,00","579,40","568,00","1,07K","0,12%"
"13/12/2024","571,80","573,00","579,00","567,30","53,36K","-0,03%"
"12/12/2024","572,00","569,00","579,50","568,00","27,74K","-0,23%"
"11/12/2024","573,30","570,00","577,90","566,30","8,51K","1,29%"
"10/12/2024","566,00","575,00","583,00","565,00","4,24K","-2,38%"
"09/12/2024","579,80","572,50","584,00","572,50","15,38K","0,83%"
"06/12/2024","575,00","580,00","594,40","575,00","37,32K","-4,17%"
"05/12/2024","600,00","564,00","600,00","564,00","51,79K","5,82%"
"04/12/2024","567,00","572,00","572,00","562,30","10,91K","-0,33%"
"03/12/2024","568,90","565,10","570,00","563,00","3,54K","-0,19%"
"02/12/2024","570,00","576,00","576,00","570,00","11,79K","-0,70%"
"29/11/2024","574,00","571,00","578,00","570,60","29,86K","0,16%"
"28/11/2024","573,10","575,00","580,00","565,00","17,48K","-0,33%"
"27/11/2024","575,00","565,00","575,00","565,00","62,04K","0,88%"
"26/11/2024","570,00","562,10","575,00","560,60","13,37K","1,60%"
"25/11/2024","561,00","572,00","572,10","561,00","51,49K","-2,43%"
"22/11/2024","575,00","575,00","576,50","571,00","14,16K","-0,09%"
"21/11/2024","575,50","580,00","580,00","575,10","25,61K","-0,78%"
"20/11/2024","580,00","584,00","584,00","577,00","54,25K","-0,68%"
"19/11/2024","584,00","579,00","590,00","578,00","66,63K","1,04%"
